name,pos,height,weight,wonderlic,40yd,benchpress,vertleap,broadjump,shuttle,3cone
Robbie Rouse,RB,65.0,190.0,,4.8,15.0,34.0,114.0,4.25,6.97
Nickell Robey,CB,67.0,169.0,,4.53,10.0,37.5,127.0,4.09,6.74
Ace Sanders,WR,67.0,173.0,,4.58,7.0,32.0,117.0,4.37,6.81
Montel Harris,RB,68.0,208.0,,4.68,19.0,32.5,113.0,4.18,6.95
Giovani Bernard,RB,68.0,202.0,25.0,4.53,19.0,33.5,122.0,4.12,6.91
Zac Stacy,RB,68.0,216.0,,4.55,27.0,33.0,122.0,4.17,6.7
Kerwynn Williams,RB,68.0,196.0,,4.48,17.0,35.0,118.0,4.15,7.15
C.J. Anderson,RB,68.0,224.0,,4.6,17.0,32.0,119.0,4.12,7.15
Tyrann Mathieu,CB,69.0,186.0,,4.5,4.0,34.0,117.0,4.14,6.87
Adrian Bushell,CB,69.0,186.0,,4.58,17.0,33.0,116.0,4.25,6.92
Stepfan Taylor,RB,69.0,214.0,,4.76,17.0,30.0,110.0,4.5,7.13
D.J. Harper,RB,69.0,211.0,,4.52,23.0,33.5,120.0,4.35,7.07
Ray Graham,RB,69.0,199.0,,4.8,18.0,32.5,112.0,4.21,7.17
Mike Edwards,CB,69.0,189.0,,4.56,14.0,36.0,124.0,4.18,6.94
Steve Williams,CB,69.0,181.0,,4.42,12.0,40.5,128.0,4.1,6.89
Kenjon Barner,RB,69.0,196.0,,4.52,20.0,35.5,122.0,4.2,6.87
Josh Johnson,CB,69.0,199.0,,4.65,16.0,35.0,114.0,4.25,6.99
Christine Michael,RB,70.0,220.0,11.0,4.54,27.0,43.0,125.0,4.02,6.69
B.W. Webb,CB,70.0,184.0,,4.51,14.0,40.5,132.0,3.84,6.82
Rex Burkhead,RB,70.0,214.0,,4.73,21.0,39.0,125.0,4.09,6.85
Robert Alford,CB,70.0,188.0,,4.39,17.0,40.0,132.0,4.23,6.89
Stedman Bailey,WR,70.0,193.0,,4.52,11.0,34.5,117.0,4.09,6.81
Michael Ford,RB,70.0,210.0,,4.5,25.0,38.5,130.0,4.25,6.87
Leon McFadden,CB,70.0,193.0,,4.54,10.0,34.5,119.0,4.27,6.81
